2015
January,21.8822(9.52261),24.5634(5.38941)256.577
Febuary,20.576(9.8603),24.6669(4.71726)215.752
March,20.2994(9.05217),22.1513(4.6586)186.556
April,20.7034(9.90384),19.1176(4.14022)130.613
May,16.7727(10.7376),14.7724(4.66382)107.116
June,17.6274(10.4904),14.7712(4.38767)85.2261
July,16.2334(9.42798),13.4556(3.89518)79.4444
August,17.7258(9.86899),14.2682(4.0116)106.757
September,18.8046(10.1503),15.4392(5.22774)169.904
October,17.9677(9.07958),18.9387(4.75115)192.548
November,20.1189(9.39385),20.7638(4.94719)245.22
December,21.6403(8.59729),21.9146(5.62466)265.549
