2014
January,19.527(10.0811),22.5534(5.2018)270.516
March,20.2664(10.8712),22.7933(5.19252)187.102
April,13.7896(9.47842),19.3338(4.94571)142.205
May,17.084(11.2502),16.5186(3.2425)86.3374
June,5.12788(8.8456),13.2155(4.64498)81.0497
July,12.7157(11.0214),13.5024(3.6966)84.0699
August,18.9755(10.536),15.4898(4.10977)112.308
September,20.3026(12.1472),16.0046(3.99454)148.872
October,18.9006(9.12836),17.7978(4.74819)200.605
November,20.2987(8.99999),18.9658(4.54486)228.49
December,21.7321(8.12809),21.224(4.96806)268.569
